student_id,study_hours,attendance,previous_score,assignment_score,sleep_hours,extracurricular_hours,final_score
1,5,85,72,80,7,3,75
2,7,90,80,88,7.5,2,84
3,3,65,55,60,6,4,59
4,8,95,85,92,8,2,91
5,4,70,62,68,6.5,5,65
6,6,88,75,82,7,3,79
7,2,60,50,55,5.5,6,52
8,9,96,90,95,8,2,95
9,5,78,68,74,7,4,71
10,7,92,82,86,7.5,2,86
11,4,73,60,65,6,5,64
12,8,94,88,90,8,1,92
13,3,68,58,62,6,6,59
14,6,84,74,79,7,3,77
15,5,80,70,76,7,4,73
16,9,98,92,96,8.5,1,97
17,2,62,48,52,5,7,49
18,7,89,79,84,7.5,3,83
19,4,75,65,70,6.5,4,67
20,8,93,86,91,8,2,91
